來源檔案,工作表,分組,原始列號,編號,匿名代碼,第一輔分,第二輔分,第三輔分,第四輔分,名次,註記,升段(組),第1場,第1場成績,第2場,第2場成績,第3場,第3場成績,第4場,第4場成績,第5場,第5場成績,第6場,第6場成績,勝場
三段組戰績表.xlsx,三段組,三段組,7,6,P029,14,10,0,66,16,,,5,O,7,X,9,O,4,X,24↑,X,,,2
三段組戰績表.xlsx,三段組,三段組,8,7,P462,14,9,0,65,8,,,8,O,6,O,1,X,10,X,2,O,,,3
三段組戰績表.xlsx,三段組,三段組,9,8,P656,8,8,0,47,26,,,7,X,5,X,11,X,3,X,空,O,,,1
三段組戰績表.xlsx,三段組,三段組,10,9,P387,15,9,0,67,15,,,10,O,12,X,6,X,11,O,16,X,,,2
三段組戰績表.xlsx,三段組,三段組,11,10,P194,12,2,0,67,6,,四段,9,X,11,O,13,O,7,O,4,O,,,4
三段組戰績表.xlsx,三段組,三段組,12,11,P325,12,10,0,61,18,,,12,X,10,X,8,O,9,X,3,O,,,2
三段組戰績表.xlsx,三段組,三段組,13,12,P580,15,5,0,71,3,,四段,11,O,9,O,16,O,1,X,14,O,,,4
三段組戰績表.xlsx,三段組,三段組,14,13,P103,12,9,0,55,20,,,14,X,15,O,10,X,17,X,20,O,,,2
三段組戰績表.xlsx,三段組,三段組,15,14,P250,14,7,0,66,11,,,13,O,16,X,17,O,18,O,12,X,,,3
三段組戰績表.xlsx,三段組,三段組,16,15,P663,9,7,0,56,23,,,16,X,13,X,20,O,19,X,23,O,,,2
三段組戰績表.xlsx,三段組,三段組,17,16,P458,14,7,1,69,10,,,15,O,14,O,12,X,21,X,9,O,,,3
三段組戰績表.xlsx,三段組,三段組,18,17,P410,12,9,1,58,19,,,18,X,20,O,14,X,13,O,22,X,,,2
三段組戰績表.xlsx,三段組,三段組,19,18,P532,13,7,0,62,12,,,17,O,19,O,24,X,14,X,27,O,,,3
三段組戰績表.xlsx,三段組,三段組,20,19,P671,11,8,0,56,21,,,20,O,18,X,21,X,15,O,5↓,X,,,2
三段組戰績表.xlsx,三段組,三段組,21,20,P557,8,8,0,44,27,,,19,X,17,X,15,X,空,O,13,X,,,1
三段組戰績表.xlsx,三段組,三段組,22,21,P163,16,8,0,61,7,,,22,O,24,X,19,O,16,O,25,X,,,3
三段組戰績表.xlsx,三段組,三段組,23,22,P691,11,7,0,62,13,,,21,X,23,O,3↓,O,25,X,17,O,,,3
三段組戰績表.xlsx,三段組,三段組,24,23,P265,11,11,0,45,24,,,24,X,22,X,空,O,27,X,15,X,,,1
三段組戰績表.xlsx,三段組,三段組,25,24,P527,13,4,0,71,4,,四段,23,O,21,O,18,O,26,X,6↓,O,,,4
三段組戰績表.xlsx,三段組,三段組,26,25,P287,12,4,0,56,5,,四段,26,X,空,O,27,O,22,O,21,O,,,4
三段組戰績表.xlsx,三段組,三段組,27,26,P236,17,5,0,68,2,,四段,25,O,27,O,2↓,O,24,O,1,X,,,4
三段組戰績表.xlsx,三段組,三段組,28,27,P353,12,11,0,53,17,,,空,O,26,X,25,X,23,O,18,X,,,2
丙組戰績表.xlsx,丙組,丙組,2,1,P507,14,0,0,81,1,加賽,乙組,2,O,3,O,8,O,12,O,43,O,,,5
丙組戰績表.xlsx,丙組,丙組,3,2,P037,14,11,0,67,25,,,1,X,43↑,X,5,O,7,X,3,O,,,2
丙組戰績表.xlsx,丙組,丙組,4,3,P485,16,13,0,65,39,,,4,O,1,X,6,X,41↑,X,2,X,,,1
丙組戰績表.xlsx,丙組,丙組,5,4,P554,11,4,0,67,22,,乙組,3,X,5,O,9,O,6,X,37↑,O,,,3
丙組戰績表.xlsx,丙組,丙組,6,5,P499,10,8,0,64,37,,,6,X,4,X,2,X,14,O,40↑,O,,,2
丙組戰績表.xlsx,丙組,丙組,7,6,P466,14,8,0,68,11,,乙組,5,O,8,X,3,O,4,O,26↑,X,,,3
丙組戰績表.xlsx,丙組,丙組,8,7,P574,10,8,0,67,36,,,8,X,9,X,14,O,2,O,11,X,,,2
丙組戰績表.xlsx,丙組,丙組,9,8,P125,16,9,0,67,9,,乙組,7,O,6,O,1,X,10,X,17,O,,,3
丙組戰績表.xlsx,丙組,丙組,10,9,P542,13,10,0,57,28,,,10,X,7,O,4,X,11,X,15,O,,,2
丙組戰績表.xlsx,丙組,丙組,11,10,P564,15,4,0,72,5,,乙組,9,O,12,X,11,O,8,O,13,O,,,4
丙組戰績表.xlsx,丙組,丙組,12,11,P004,12,8,0,68,15,,乙組,12,X,14,O,10,X,9,O,7,O,,,3
丙組戰績表.xlsx,丙組,丙組,13,12,P183,18,5,0,66,3,,乙組,11,O,10,O,13,O,1,X,16,O,,,4
丙組戰績表.xlsx,丙組,丙組,14,13,P628,13,8,0,71,14,,乙組,14,O,16,O,12,X,17,O,10,X,,,3
丙組戰績表.xlsx,丙組,丙組,15,14,P624,12,12,0,56,45,,,13,X,11,X,7,X,5,X,42↑,X,,,0
丙組戰績表.xlsx,丙組,丙組,16,15,P626,9,8,0,55,44,,,16,X,18,X,22,X,23,O,9,X,,,1
丙組戰績表.xlsx,丙組,丙組,17,16,P465,12,7,0,62,16,,乙組,15,O,13,X,18,O,19,O,12,X,,,3
丙組戰績表.xlsx,丙組,丙組,18,17,P226,14,10,0,66,26,,,18,O,20,O,24,X,13,X,8,X,,,2
丙組戰績表.xlsx,丙組,丙組,19,18,P678,10,8,0,57,38,,,17,X,15,O,16,X,21,X,22,O,,,2
丙組戰績表.xlsx,丙組,丙組,20,19,P182,12,8,0,58,33,,,20,X,22,O,21,O,16,X,25,X,,,2
丙組戰績表.xlsx,丙組,丙組,21,20,P442,13,8,0,64,29,,,19,O,17,X,25,O,28,X,21,X,,,2
丙組戰績表.xlsx,丙組,丙組,22,21,P578,11,6,0,60,21,,乙組,22,O,24,X,19,X,18,O,20,O,,,3
丙組戰績表.xlsx,丙組,丙組,23,22,P052,11,10,0,53,40,,,21,X,19,X,15,O,25,X,18,X,,,1
丙組戰績表.xlsx,丙組,丙組,24,23,P206,9,9,0,43,42,,,24,X,25,X,30,X,15,X,空,O,,,1
丙組戰績表.xlsx,丙組,丙組,25,24,P196,14,5,0,65,6,,乙組,23,O,21,O,17,O,26,X,28,O,,,4
丙組戰績表.xlsx,丙組,丙組,26,25,P704,11,7,0,60,19,,乙組,26,X,23,O,20,X,22,O,19,O,,,3
丙組戰績表.xlsx,丙組,丙組,27,26,P605,15,0,0,70,2,加賽,乙組,25,O,28,O,29,O,24,O,6↓,O,,,5
丙組戰績表.xlsx,丙組,丙組,28,27,P381,11,9,0,59,34,,,28,X,30,O,31,X,32,X,33,O,,,2
丙組戰績表.xlsx,丙組,丙組,29,28,P406,16,9,0,64,10,,乙組,27,O,26,X,32,O,20,O,24,X,,,3
丙組戰績表.xlsx,丙組,丙組,30,29,P299,15,11,0,63,24,,,30,O,31,O,26,X,37,X,32,X,,,2
丙組戰績表.xlsx,丙組,丙組,31,30,P097,9,8,0,59,43,,,29,X,27,X,23,O,34,X,36,X,,,1
丙組戰績表.xlsx,丙組,丙組,32,31,P384,14,6,0,63,13,,乙組,32,O,29,X,27,O,38,O,35,X,,,3
丙組戰績表.xlsx,丙組,丙組,33,32,P522,11,6,0,65,20,,乙組,31,X,33,O,28,X,27,O,29,O,,,3
丙組戰績表.xlsx,丙組,丙組,34,33,P530,9,9,0,46,41,,,34,X,32,X,36,X,空,O,27,X,,,1
丙組戰績表.xlsx,丙組,丙組,35,34,P024,12,10,0,53,31,,,33,O,35,X,38,X,30,O,39,X,,,2
丙組戰績表.xlsx,丙組,丙組,36,35,P058,14,4,0,69,7,,乙組,36,O,34,O,37,O,43,X,31,O,,,4
丙組戰績表.xlsx,丙組,丙組,37,36,P142,12,10,0,53,31,,,35,X,38,X,33,O,39,X,30,O,,,2
丙組戰績表.xlsx,丙組,丙組,38,37,P313,14,7,0,65,12,,乙組,38,O,40,O,35,X,29,O,4↓,X,,,3
丙組戰績表.xlsx,丙組,丙組,39,38,P326,12,6,0,65,17,,乙組,37,X,36,O,34,O,31,X,44,O,,,3
丙組戰績表.xlsx,丙組,丙組,40,39,P346,9,5,0,49,23,,乙組,40,X,41,X,空,O,36,O,34,O,,,3
丙組戰績表.xlsx,丙組,丙組,41,40,P657,13,8,0,56,30,,,39,O,37,X,41,X,42,O,5↓,X,,,2
丙組戰績表.xlsx,丙組,丙組,42,41,P660,12,6,0,60,18,,乙組,42,X,39,O,40,O,3↓,O,45,X,,,3
丙組戰績表.xlsx,丙組,丙組,43,42,P162,11,8,0,61,35,,,41,O,45,X,44,X,40,X,14↓,O,,,2
丙組戰績表.xlsx,丙組,丙組,44,43,P179,17,5,0,66,4,,乙組,44,O,2↓,O,45,O,35,O,1,X,,,4
丙組戰績表.xlsx,丙組,丙組,45,44,P077,13,11,0,51,27,,,43,X,空,O,42,O,45,X,38,X,,,2
丙組戰績表.xlsx,丙組,丙組,46,45,P569,11,4,0,53,8,,乙組,空,O,42,O,43,X,44,O,41,O,,,4
乙組戰績表.xlsx,乙組,乙組,2,1,P546,13,8,0,59,19,,,2,X,4,X,24↑,O,7,O,5,X,,,2
乙組戰績表.xlsx,乙組,乙組,3,2,P689,15,4,0,75,3,,甲組,1,O,3,O,6,O,10,X,26,O,,,4
乙組戰績表.xlsx,乙組,乙組,4,3,P062,15,8,0,68,7,,甲組,4,O,2,X,26↑,O,6,O,12,X,,,3
乙組戰績表.xlsx,乙組,乙組,5,4,P595,12,10,0,63,24,,,3,X,1,O,5,X,9,X,7,X,,,1
乙組戰績表.xlsx,乙組,乙組,6,5,P277,12,8,0,62,11,,甲組,6,X,8,O,4,O,20↑,X,1,O,,,3
乙組戰績表.xlsx,乙組,乙組,7,6,P592,14,7,0,65,10,,甲組,5,O,7,O,2,X,3,X,9,O,,,3
乙組戰績表.xlsx,乙組,乙組,8,7,P698,10,8,0,64,22,,,8,O,6,X,11,X,1,X,4,O,,,2
乙組戰績表.xlsx,乙組,乙組,9,8,P140,9,9,0,46,26,,,7,X,5,X,9,X,21↑,X,空,O,,,1
乙組戰績表.xlsx,乙組,乙組,10,9,P409,13,11,0,65,17,,,10,X,12,X,8,O,4,O,6,X,,,2
乙組戰績表.xlsx,乙組,乙組,11,10,P483,18,5,0,71,2,,甲組,9,O,11,O,15,O,2,O,20,X,,,4
乙組戰績表.xlsx,乙組,乙組,12,11,P205,16,8,0,66,6,,甲組,12,O,10,X,7,O,15,X,13,O,,,3
乙組戰績表.xlsx,乙組,乙組,13,12,P180,12,3,0,73,5,,甲組,11,X,9,O,13,O,18,O,3,O,,,4
乙組戰績表.xlsx,乙組,乙組,14,13,P217,13,11,0,60,18,,,14,O,15,X,12,X,16,O,11,X,,,2
乙組戰績表.xlsx,乙組,乙組,15,14,P033,8,8,0,43,27,,,13,X,16,X,17,X,空,O,22,X,,,1
乙組戰績表.xlsx,乙組,乙組,16,15,P239,13,4,0,69,4,,甲組,16,O,13,O,10,X,11,O,27,O,,,4
乙組戰績表.xlsx,乙組,乙組,17,16,P643,11,10,0,60,25,,,15,X,14,O,18,X,13,X,25,X,,,1
乙組戰績表.xlsx,乙組,乙組,18,17,P266,10,5,0,64,13,,甲組,18,X,19,X,14,O,22,O,23,O,,,3
乙組戰績表.xlsx,乙組,乙組,19,18,P664,16,12,0,62,15,,,17,O,20,X,16,O,12,X,19,X,,,2
乙組戰績表.xlsx,乙組,乙組,20,19,P268,15,8,0,66,8,,甲組,20,X,17,O,21,O,26,X,18,O,,,3
乙組戰績表.xlsx,乙組,乙組,21,20,P032,14,0,0,77,1,,甲組,19,O,18,O,23,O,5↓,O,10,O,,,5
乙組戰績表.xlsx,乙組,乙組,22,21,P536,11,8,0,59,20,,,22,O,23,X,19,X,8↓,O,24,X,,,2
乙組戰績表.xlsx,乙組,乙組,23,22,P172,9,8,0,39,23,,,21,X,24,X,空,O,17,X,14,O,,,2
乙組戰績表.xlsx,乙組,乙組,24,23,P537,16,11,0,56,16,,,24,O,21,O,20,X,27,X,17,X,,,2
乙組戰績表.xlsx,乙組,乙組,25,24,P152,10,4,0,59,14,,甲組,23,X,22,O,1↓,X,25,O,21,O,,,3
乙組戰績表.xlsx,乙組,乙組,26,25,P282,10,9,0,47,21,,,26,X,空,O,27,X,24,X,16,O,,,2
乙組戰績表.xlsx,乙組,乙組,27,26,P701,15,7,0,66,9,,甲組,25,O,27,O,3↓,X,19,O,2,X,,,3
乙組戰績表.xlsx,乙組,乙組,28,27,P549,11,7,0,54,12,,甲組,空,O,26,X,25,O,23,O,15,X,,,3
二段組戰績表.xlsx,二段組,二段組,2,1,P008,14,10,0,57,20,,,2,X,34↑,X,10,O,6,O,8,X,,,2
二段組戰績表.xlsx,二段組,二段組,3,2,P123,13,7,0,71,10,,,1,O,4,X,30↑,O,5,X,15,O,,,3
二段組戰績表.xlsx,二段組,二段組,4,3,P372,11,11,0,55,33,,,4,X,6,X,32↑,X,16,X,33,O,,,1
二段組戰績表.xlsx,二段組,二段組,5,4,P441,13,4,0,73,4,,三段,3,O,2,O,7,O,9,X,5,O,,,4
二段組戰績表.xlsx,二段組,二段組,6,5,P161,14,6,0,66,9,,,6,O,7,X,8,O,2,O,4,X,,,3
二段組戰績表.xlsx,二段組,二段組,7,6,P214,12,9,0,63,22,,,5,X,3,O,11,X,1,X,29↑,O,,,2
二段組戰績表.xlsx,二段組,二段組,8,7,P329,18,12,0,64,17,,,8,O,5,O,4,X,11,X,26↑,X,,,2
二段組戰績表.xlsx,二段組,二段組,9,8,P439,10,5,0,71,13,,,7,X,10,O,5,X,12,O,1,O,,,3
二段組戰績表.xlsx,二段組,二段組,10,9,P343,17,5,0,65,2,,三段,10,O,11,O,15,O,4,O,21,X,,,4
二段組戰績表.xlsx,二段組,二段組,11,10,P514,11,9,0,69,25,,,9,X,8,X,1,X,28↑,O,12,O,,,2
二段組戰績表.xlsx,二段組,二段組,12,11,P645,12,4,0,75,5,,三段,12,O,9,X,6,O,7,O,13,O,,,4
二段組戰績表.xlsx,二段組,二段組,13,12,P083,14,12,0,55,29,,,11,X,13,X,16,O,8,X,10,X,,,1
二段組戰績表.xlsx,二段組,二段組,14,13,P421,14,8,0,63,8,,,14,X,12,O,17,O,15,O,11,X,,,3
二段組戰績表.xlsx,二段組,二段組,15,14,P178,11,2,0,73,7,,三段,13,O,15,X,19,O,18,O,20,O,,,4
二段組戰績表.xlsx,二段組,二段組,16,15,P598,16,10,0,63,19,,,16,O,14,O,9,X,13,X,2,X,,,2
二段組戰績表.xlsx,二段組,二段組,17,16,P247,8,6,0,65,27,,,15,X,17,X,12,X,3,O,19,O,,,2
二段組戰績表.xlsx,二段組,二段組,18,17,P430,10,5,0,66,14,,,18,X,16,O,13,X,19,O,22,O,,,3
二段組戰績表.xlsx,二段組,二段組,19,18,P296,18,12,0,57,18,,,17,O,20,O,21,X,14,X,25,X,,,2
二段組戰績表.xlsx,二段組,二段組,20,19,P658,14,12,0,52,31,,,20,X,22,O,14,X,17,X,16,X,,,1
二段組戰績表.xlsx,二段組,二段組,21,20,P308,11,6,0,69,12,,,19,O,18,X,24,O,25,O,14,X,,,3
二段組戰績表.xlsx,二段組,二段組,22,21,P368,13,0,0,76,1,,三段,22,O,24,O,18,O,26,O,9,O,,,5
二段組戰績表.xlsx,二段組,二段組,23,22,P533,12,9,0,58,23,,,21,X,19,X,23,O,24,O,17,X,,,2
二段組戰績表.xlsx,二段組,二段組,24,23,P555,7,6,0,65,28,,,24,X,25,X,22,X,33,O,28,O,,,2
二段組戰績表.xlsx,二段組,二段組,25,24,P042,14,12,0,54,30,,,23,O,21,X,20,X,22,X,31,X,,,1
二段組戰績表.xlsx,二段組,二段組,26,25,P334,12,7,0,65,11,,,26,X,23,O,28,O,20,X,18,O,,,3
二段組戰績表.xlsx,二段組,二段組,27,26,P136,15,5,0,68,3,,三段,25,O,28,O,34,O,21,X,7↓,O,,,4
二段組戰績表.xlsx,二段組,二段組,28,27,P529,7,3,0,64,16,,,28,X,29,X,33,O,31,O,30,O,,,3
二段組戰績表.xlsx,二段組,二段組,29,28,P480,14,11,0,52,32,,,27,O,26,X,25,X,10↓,X,23,X,,,1
二段組戰績表.xlsx,二段組,二段組,30,29,P234,12,7,0,53,24,,,30,X,27,O,31,O,32,X,6↓,X,,,2
二段組戰績表.xlsx,二段組,二段組,31,30,P255,14,10,0,54,21,,,29,O,31,O,2↓,X,34,X,27,X,,,2
二段組戰績表.xlsx,二段組,二段組,32,31,P593,11,7,0,56,26,,,32,O,30,X,29,X,27,X,24,O,,,2
二段組戰績表.xlsx,二段組,二段組,33,32,P085,9,6,0,58,15,,,31,X,33,O,3↓,O,29,O,34,X,,,3
二段組戰績表.xlsx,二段組,二段組,34,33,P659,13,13,0,45,34,,,34,X,32,X,27,X,23,X,3,X,,,0
二段組戰績表.xlsx,二段組,二段組,35,34,P342,11,4,0,65,6,,三段,33,O,1↓,O,26,X,30,O,32,O,,,4
五段組戰績表.xlsx,五段組,五段組,2,1,P262,17,10,0,109,21,,,2,O,3,X,6,O,63↑,X,5,O,10,O,4
五段組戰績表.xlsx,五段組,五段組,3,2,P411,10,10,0,50,68,,,1,X,68↑,X,4,X,棄,,,,,,0
五段組戰績表.xlsx,五段組,五段組,4,3,P315,23,6,0,119,3,,六段,4,O,1,O,5,O,12,X,48↑,O,9,O,5
五段組戰績表.xlsx,五段組,五段組,5,4,P028,14,13,0,112,56,,,3,X,6,X,2,O,64↑,X,13,O,15,X,2
五段組戰績表.xlsx,五段組,五段組,6,5,P395,21,17,0,110,47,,,6,O,8,O,3,X,9,X,1,X,60↑,X,2
五段組戰績表.xlsx,五段組,五段組,7,6,P055,16,12,0,94,54,,,5,X,4,O,1,X,8,O,10,X,16,X,2
五段組戰績表.xlsx,五段組,五段組,8,7,P278,11,11,0,78,67,,,8,X,10,X,11,X,20,X,40,X,空,O,1
五段組戰績表.xlsx,五段組,五段組,9,8,P523,14,12,0,104,57,,,7,O,5,X,9,X,6,X,65↑,X,20,O,2
五段組戰績表.xlsx,五段組,五段組,10,9,P252,21,11,0,117,11,,,10,O,12,X,8,O,5,O,14,O,3,X,4
五段組戰績表.xlsx,五段組,五段組,11,10,P396,15,11,0,103,41,,,9,X,7,O,13,O,14,X,6,O,1,X,3
五段組戰績表.xlsx,五段組,五段組,12,11,P339,17,7,0,110,22,,,12,X,13,X,7,O,16,O,15,O,14,O,4
五段組戰績表.xlsx,五段組,五段組,13,12,P080,25,0,0,132,1,,六段,11,O,9,O,15,O,3,O,22,O,63,O,6
五段組戰績表.xlsx,五段組,五段組,14,13,P492,19,15,0,98,62,,,14,X,11,O,10,X,17,X,4,X,62↑,X,1
五段組戰績表.xlsx,五段組,五段組,15,14,P018,19,11,0,111,31,,,13,O,15,X,17,O,10,O,9,X,11,X,3
五段組戰績表.xlsx,五段組,五段組,16,15,P426,23,15,0,107,27,,,16,O,14,O,12,X,19,X,11,X,4,O,3
五段組戰績表.xlsx,五段組,五段組,17,16,P556,13,9,0,106,43,,,15,X,18,X,20,O,11,X,27,O,6,O,3
五段組戰績表.xlsx,五段組,五段組,18,17,P157,16,8,0,108,24,,,18,O,19,X,14,X,13,O,21,O,24,O,4
五段組戰績表.xlsx,五段組,五段組,19,18,P078,16,12,0,91,55,,,17,X,16,O,21,X,26,X,20,O,25,X,2
五段組戰績表.xlsx,五段組,五段組,20,19,P335,19,4,0,114,8,,,20,O,17,O,22,X,15,O,24,O,28,O,5
五段組戰績表.xlsx,五段組,五段組,21,20,P707,15,14,0,90,65,,,19,X,21,X,16,X,7,O,18,X,8,X,1
五段組戰績表.xlsx,五段組,五段組,22,21,P048,17,14,0,102,51,,,22,X,20,O,18,O,24,X,17,X,26,X,2
五段組戰績表.xlsx,五段組,五段組,23,22,P627,24,11,0,121,9,,,21,O,24,O,19,O,32,O,12,X,38,X,4
五段組戰績表.xlsx,五段組,五段組,24,23,P571,6,6,0,31,69,,,24,X,26,X,棄,,,,,,,,0
五段組戰績表.xlsx,五段組,五段組,25,24,P432,18,13,0,95,32,,,23,O,22,X,26,O,21,O,19,X,17,X,3
五段組戰績表.xlsx,五段組,五段組,26,25,P614,17,11,0,105,37,,,26,O,27,O,32,X,28,X,29,X,18,O,3
五段組戰績表.xlsx,五段組,五段組,27,26,P420,13,9,0,92,44,,,25,X,23,O,24,X,18,O,31,X,21,O,3
五段組戰績表.xlsx,五段組,五段組,28,27,P146,19,15,0,94,63,,,28,O,25,X,29,X,31,X,16,X,36,X,1
